Metrics,Proposed AI Model (NCCT),Non-gated Agatston Score (NCCT),Gated Agatston Score (Dedicated CSCT),Comparison with Non-gated Score,Comparison with Gated Score
External Validation Cohorts,,,,,
AUC,0.848 (0.820 - 0.876),0.824 (0.795 - 0.853),0.868 (0.842 - 0.894),P = 0.045,P = 0.046
Sensitivity (%),81.8 (77.6 - 85.6),40.6 (35.4 - 45.9),57.9 (52.9 - 63.8),P < 0.001 (1.71 × 10⁻³⁷),P < 0.001 (3.02 × 10⁻²⁰)
Specificity (%),74.1 (69.5 - 78.4),97.1 (95.5 - 98.6),92.3 (89.7 - 94.8),P < 0.001 (2.52 × 10⁻²⁹),P < 0.001 (5.36 × 10⁻²¹)
NPV (%),83.7 (80.3 - 87.2),67.4 (64.1 - 71.0),73.5 (70.2 - 77.3),Delta +16.4 pp (+13.0 to +19.7); P < 0.001 (1.00 × 10⁻⁴),Delta +10.3 pp (+7.2 to +13.3); P < 0.001 (1.00 × 10⁻⁴)
Prospective Cohort,,,,,
AUC,0.886 (0.845 - 0.927),0.857 (0.814 - 0.901),0.898 (0.860 - 0.936),P = 0.073,P = 0.321
Sensitivity (%),84.3 (77.1 - 91.1),60.2 (51.0 - 69.9),75.9 (67.6 - 83.5),P < 0.001 (2.98 × 10⁻⁸),P = 0.004
Specificity (%),75.5 (70.5 - 80.3),94.4 (91.5 - 96.8),91.7 (88.8 - 94.9),P < 0.001 (3.92 × 10⁻¹⁴),P < 0.001 (3.18 × 10⁻¹³)
NPV (%),93.1 (89.8 - 96.1),86.9 (83.2 - 90.6),91.4 (88.3 - 94.4),Delta +6.2 pp (+3.4 to +9.2); P < 0.001 (2.00 × 10⁻⁴),Delta +1.6 pp (-0.1 to +3.7); P = 0.091
"Real-world Cohort (n=2,388)",,,,,
AUC,0.848 (0.830 - 0.866),0.813 (0.793 - 0.832),0.866 (0.850 - 0.883),P < 0.001 (3.58 × 10⁻⁸),P = 0.001
Sensitivity (%),75.7 (72.6 - 79.1),43.1 (39.5 - 46.8),69.1 (65.7 - 72.5),P < 0.001 (8.38 × 10⁻⁶⁶),P < 0.001 (3.30 × 10⁻⁶)
Specificity (%),79.8 (77.8 - 81.8),95.2 (94.2 - 96.3),87.7 (85.9 - 89.2),P < 0.001 (2.32 × 10⁻⁷³),P < 0.001 (1.69 × 10⁻²⁴)
NPV (%),89.1 (87.5 - 90.7),80.6 (78.8 - 82.2),87.6 (85.8 - 89.0),Delta +8.4 pp (+7.1 to +9.8); P < 0.001 (1.00 × 10⁻⁴),Delta +1.5 pp (+0.5 to +2.6); P = 0.004
